signature,auc_nonboot,auc_boot,ci_lower,ci_upper,p_value
Suliman_RISK_4,0.5025641025641026,0.5531770461398785,0.3678,0.6271,0.855670354149704
Sweeney_OD_3,0.5820512820512821,0.5909334951298661,0.4529,0.7112,0.27959706947975455
Tabone_OD_11,0.5038461538461538,0.5519550333733371,0.3661,0.6262,0.9866518637581663
Tabone_RES_25,0.5410256410256411,0.574811977166056,0.4118,0.6703,0.8255277041164568
Tabone_RES_27,0.5641025641025641,0.5786284264028674,0.4358,0.6924,0.19237777268036677
Thompson_9,0.5480769230769231,0.5638529073572711,0.4194,0.6767,0.6214273671208144
Thompson_FAIL_13,0.5391025641025642,0.5510000103357304,0.4088,0.6694,0.40341324188627803
Thompson_RES_5,0.5775641025641025,0.5655838583266156,0.4498,0.7053,0.7017225857700258
Tornheim_71,0.5980769230769231,0.6286842769884988,0.4701,0.7261,0.17949564548195882
Tornheim_RES_25,0.5557692307692308,0.5580139256994633,0.3149,0.5736,0.7406878420361452
Vargas_18,0.5108974358974359,0.5632777702682626,0.3805,0.6413,0.997210588796029
Vargas_42,0.5192307692307692,0.5564731827845371,0.3898,0.6486,0.9245272986702429
Verhagen_10,0.5442307692307693,0.5649867726124179,0.4149,0.6735,0.7042603498544986
Walter_51,0.6102564102564103,0.6226198438733144,0.483,0.7375,0.22534292320697863
Walter_PNA_119,0.6076923076923078,0.6113053900253234,0.4792,0.7362,0.3408075194595992
Walter_PNA_47,0.6083333333333334,0.6023395481400191,0.4816,0.7351,0.24280149066509996
Zak_RISK_16,0.507051282051282,0.5425542593252788,0.3776,0.6365,0.5675875702982287
Zhao_NANO_6,0.5493589743589744,0.573229847762254,0.4205,0.6782,0.444684343899881
