signature,auc_nonboot,auc_boot,ci_lower,ci_upper,p_value
Anderson_42,0.5615384615384615,0.5733913020717375,0.4307,0.6924,0.698540511965271
Anderson_OD_51,0.5833333333333334,0.5897093746144013,0.4558,0.7109,0.47976079963106844
Berry_393,0.5583333333333332,0.572982311147878,0.4291,0.6876,0.9875883602948807
Berry_OD_86,0.5198717948717948,0.5572599398506229,0.3907,0.6491,0.5195223432946581
Blankley_380,0.5871794871794872,0.5947681010980876,0.4595,0.7149,0.5322280649193161
Blankley_5,0.6044871794871794,0.6267634596052098,0.4779,0.7311,0.2355545889682984
Bloom_OD_144,0.573076923076923,0.5883706383266757,0.4447,0.7015,0.8838731441317089
Bloom_RES_268,0.5769230769230769,0.5803360379969138,0.4492,0.7047,0.6240900212890323
Bloom_RES_558,0.5948717948717949,0.6191104006111868,0.4669,0.7228,0.6882845042117955
Chen_5,0.5391025641025641,0.5685332918462562,0.3314,0.5903,0.26043034725809566
Chen_HIV_4,0.5365384615384616,0.5501912933035175,0.4069,0.6662,0.4775828959826792
Darboe_RISK_11,0.5217948717948719,0.5488707737664971,0.3923,0.6513,0.3571368263110145
Dawany_HIV_251,0.541025641025641,0.5528808512676975,0.4118,0.6703,0.49383591221729173
Duffy_23,0.5448717948717949,0.5575186031638126,0.415,0.6747,0.81232164786957
Esmail_203,0.5653846153846154,0.5753031185181854,0.4363,0.6944,0.6406389350439092
Esmail_82,0.5814102564102563,0.6024680661818457,0.4529,0.7099,0.3730667594636873
Esmail_OD_893,0.5692307692307692,0.5792035180165569,0.441,0.6975,0.7650678705666287
Estevez_133,0.6044871794871796,0.6107923398848926,0.4756,0.7334,0.1085192950664473
Estevez_259,0.6256410256410256,0.6224480096350687,0.4984,0.7529,0.10913803936665323
Francisco_OD_2,0.5692307692307694,0.5818642147628096,0.4404,0.6981,0.4216933960935074
Gjoen_10,0.5269230769230768,0.5650044398772859,0.3977,0.6562,0.6845170767030948
Gjoen_7,0.5198717948717948,0.5527396457764415,0.3888,0.651,0.5822296171864167
Gliddon_2_OD_4,0.6724358974358975,0.6764516332558544,0.5533,0.7916,0.01985258899597927
Gliddon_HIV_3,0.5358974358974359,0.5651067139829878,0.4061,0.6657,0.3800618297023637
Gliddon_OD_3,0.5358974358974359,0.5721812266796655,0.4061,0.6657,0.3800618297023637
Gliddon_OD_4,0.6724358974358975,0.6689641773710417,0.5533,0.7916,0.01985258899597927
Gong_OD_4,0.526923076923077,0.5544928505225662,0.3969,0.6569,0.6877095167597214
Heycken_FAIL_22,0.5012820512820513,0.5461681473259279,0.3717,0.6308,0.5113618247615148
Hoang_OD_13,0.555128205128205,0.568545876499077,0.4266,0.6837,0.8669443919865554
Hoang_OD_20,0.5314102564102565,0.561599316535717,0.4021,0.6607,0.40644292514941216
Hoang_OD_3,0.6256410256410257,0.6161970875848792,0.5015,0.7498,0.04842264050249744
Huang_OD_13,0.5570512820512821,0.5630966341033444,0.4258,0.6883,0.2807947165905805
Jacobsen_3,0.6371794871794871,0.653736241005702,0.5137,0.7606,0.013818914891619722
Jenum_8,0.5173076923076921,0.5661209635857838,0.3526,0.6128,0.9776789691681163
Kaforou_27,0.5487179487179487,0.5646346235380071,0.4185,0.6789,0.6148912797097952
Kaforou_OD_44,0.501923076923077,0.5516109980282794,0.3681,0.6281,0.6124339444264211
Kaforou_OD_53,0.5262820512820512,0.5536465755502904,0.3969,0.6556,0.9764250729776591
Kaul_3,0.5025641025641026,0.5568942387361275,0.3679,0.627,0.9209720435602162
Kulkarni_HIV_2,0.6115384615384616,0.6058872437208704,0.4802,0.7428,0.17998437206203116
Kwan_186,0.6166666666666667,0.6267138509043554,0.4896,0.7437,0.13335369215617418
LauxdaCosta_OD_3,0.5249999999999999,0.5634031250072736,0.3947,0.6553,0.44828824900038533
Lee_4,0.6147435897435898,0.6285116815268128,0.487,0.7425,0.9436572585550994
Leong_24,0.5839743589743589,0.59107198617989,0.4558,0.7122,0.9902672289837113
Leong_RISK_29,0.5596153846153846,0.5662543244480079,0.4301,0.6892,0.7444520191049204
Long_RES_10,0.5499999999999999,0.5721532474244239,0.4199,0.6801,0.7075328987201865
Maertzdorf_15,0.52564102564102555,0.5775163225126239,0.3959,0.6554,0.6890975197535036
Maertzdorf_4,0.5583333333333333,0.5657241210814264,0.4289,0.6878,0.8145510257296527
Maertzdorf_OD_100,0.6326923076923078,0.6225758031513086,0.5055,0.7599,0.7679806698797624
Natarajan_7,0.5288461538461537,0.5545540238280096,0.3991,0.6586,0.8637041812465549
PennNich_RISK_6,0.535897435897436,0.563310357118579,0.4068,0.665,0.22458330336402815
Qian_OD_17,0.5006410256410256,0.5342509203286963,0.3705,0.6308,0.35016351231370124
Rajan_HIV_5,0.6160256410256412,0.6284912273964117,0.4907,0.7414,0.17623749010797077
Roe_3,0.5192307692307694,0.5551341077008963,0.3887,0.6498,0.28178061081157996
Roe_OD_4,0.6551282051282052,0.6616136566933226,0.5328,0.7775,0.007231210254047363
Sambarey_HIV_10,0.5807692307692307,0.5810367684185884,0.4531,0.7084,0.5565423291006091
Singhania_OD_20,0.5141025641025642,0.5473123849582848,0.3832,0.645,0.6205990843975975
Sivakumaran_11,0.5756410256410256,0.5828389893453477,0.4476,0.7036,0.5087687553348109
Sloot_HIV_2,0.5243589743589745,0.5657580439858211,0.394,0.6547,0.926538446960117
Suliman_4,0.5583333333333333,0.5730001921449858,0.4287,0.6879,0.4585783315810861
Suliman_RISK_2,0.5544871794871796,0.5796035634038821,0.3163,0.5748,0.07271317750582025
Suliman_RISK_4,0.5025641025641026,0.5531770461398785,0.3678,0.6271,0.8556703541497039
Sweeney_OD_3,0.5820512820512822,0.5909334951298661,0.4529,0.7112,0.279597069479753
Tabone_OD_11,0.5038461538461537,0.5519550333733372,0.3661,0.6262,0.9866518637581663
Tabone_RES_25,0.5410256410256409,0.5748119771660561,0.4118,0.6703,0.8255277041164516
Tabone_RES_27,0.5641025641025641,0.5786284264028673,0.4358,0.6924,0.19237777268036577
Thompson_9,0.5480769230769231,0.5638529073572711,0.4194,0.6767,0.6214273671208159
Thompson_FAIL_13,0.5391025641025641,0.5510000103357304,0.4088,0.6694,0.4034132418862799
Thompson_RES_5,0.5775641025641026,0.5655838583266157,0.4498,0.7053,0.7017225857700247
Tornheim_71,0.5980769230769232,0.6286842769884988,0.4701,0.7261,0.17949564548196292
Tornheim_RES_25,0.5557692307692308,0.5580139256994632,0.3149,0.5736,0.7406878420361451
Vargas_18,0.5108974358974357,0.5632777702682626,0.3805,0.6413,0.9972105887960321
Vargas_42,0.519230769230769,0.5564731827845371,0.3898,0.6486,0.9245272986702429
Verhagen_10,0.5442307692307693,0.5649867726124179,0.4149,0.6735,0.7042603498544988
Walter_51,0.6102564102564102,0.6226198438733144,0.483,0.7375,0.22534292320698146
Walter_PNA_119,0.6076923076923078,0.6113053900253234,0.4792,0.7362,0.3408075194596064
Walter_PNA_47,0.6083333333333334,0.6023395481400191,0.4816,0.7351,0.24280149066509693
Zak_RISK_16,0.507051282051282,0.5425542593252788,0.3776,0.6365,0.5675875702982287
Zhao_NANO_6,0.5493589743589744,0.5732298477622542,0.4205,0.6782,0.44468434389988654
